start,stop
2020-03-16 07:00,2020-03-16 12:00
2020-03-16 15:15,2020-03-16 17:00
2020-03-16 17:15,2020-03-16 17:30
2020-03-16 21:15,2020-03-16 22:00
2020-03-17 06:45,2020-03-17 08:30
2020-03-17 09:00,2020-03-17 10:30
2020-03-17 11:15,2020-03-17 12:30
2020-03-17 13:15,2020-03-17 14:15
2020-03-17 15:00,2020-03-17 16:17
2020-03-17 21:15,2020-03-17 22:30
2020-03-18 07:25,2020-03-18 09:15
2020-03-18 09:45,2020-03-18 12:21
2020-03-18 12:55,2020-03-18 16:30
2020-03-19 06:06,2020-03-19 08:05
2020-03-19 08:20,2020-03-19 08:40
2020-03-19 08:50,2020-03-19 10:18
2020-03-19 10:26,2020-03-19 11:08
2020-03-19 11:40,2020-03-19 11:56
2020-03-19 12:30,2020-03-19 15:01
2020-03-19 17:00,2020-03-19 18:01
2020-03-20 06:19,2020-03-20 08:50
2020-03-20 09:10,2020-03-20 10:20
2020-03-20 10:45,2020-03-20 12:00
2020-03-20 13:45,2020-03-20 15:40
2020-03-20 18:30,2020-03-20 18:46
2020-03-21 05:55,2020-03-21 07:55
2020-03-23 05:46,2020-03-23 07:28
2020-03-23 08:30,2020-03-23 10:00
2020-03-23 10:45,2020-03-23 12:00
2020-03-23 12:10,2020-03-23 12:21
2020-03-23 12:42,2020-03-23 13:20
2020-03-23 13:39,2020-03-23 16:32
2020-03-24 06:50,2020-03-24 08:28
2020-03-24 09:04,2020-03-24 12:01
2020-03-24 14:10,2020-03-24 16:57
2020-03-24 21:34,2020-03-24 21:47
2020-03-24 22:06,2020-03-24 22:37
2020-03-25 06:38,2020-03-25 07:10
2020-03-25 07:15,2020-03-25 08:19
2020-03-25 08:34,2020-03-25 08:58
2020-03-25 09:19,2020-03-25 10:05
2020-03-25 10:53,2020-03-25 12:00
2020-03-25 13:08,2020-03-25 15:00
2020-03-25 15:15,2020-03-25 16:02
2020-03-26 07:00,2020-03-26 08:32
2020-03-26 08:39,2020-03-26 09:37
2020-03-26 10:47,2020-03-26 12:05
2020-03-26 12:45,2020-03-26 14:51
2020-03-26 18:50,2020-03-26 19:44
2020-03-27 05:20,2020-03-27 07:57
2020-03-27 08:35,2020-03-27 11:44
2020-03-27 12:25,2020-03-27 15:10
2020-03-28 07:10,2020-03-28 07:40
